,country_name,city_name,measure,aqi_level,lat,lon
303,Cabo Verde,Praia,max_aqi,40,14.9162811,-23.5095095
304,Mozambique,Matola,max_aqi,66,-25.966917,32.466956
305,Mauritania,Bababe,max_aqi,224,16.3406075,-13.948088
306,Guinea-Bissau,Bissora,max_aqi,195,12.2235221,-15.4507416
307,United Arab Emirates,Abu Dhabi,max_aqi,170,24.4538352,54.3774014
308,Eritrea,Edd,max_aqi,163,47.7113958,-98.9087265
309,Tajikistan,Dangara,max_aqi,156,29.6798517,75.8930532
310,Barbados,Bridgetown,max_aqi,73,13.0977832,-59.6184184
311,Algeria,Tuggurt,max_aqi,164,,
312,Iraq,Hit,max_aqi,158,50.377879,6.9387448
313,Syria,Jaramana,max_aqi,167,33.4863893,36.3482783
314,Gabon,Libreville,max_aqi,131,0.4086518,9.4418849
315,Liberia,Monrovia,max_aqi,60,6.328034,-10.797788
316,Laos,Si Chiang Mai,max_aqi,75,18.8336794,98.9662670495394
317,Bhutan,Samdrup Jongkhar,max_aqi,31,26.916667,91.616667
318,Yemen,Sayyan,max_aqi,179,13.823543,44.211837
319,Togo,Vogan,max_aqi,108,6.334956,1.529707
320,Turkmenistan,Seydi,max_aqi,163,65.2598475,-14.0049009
321,Saint Lucia,Castries,max_aqi,79,14.0095966,-60.9902359
322,Kuwait,Kayfan,max_aqi,164,24.4868576,46.6396001
323,Libya,Nalut,max_aqi,191,30.6131484,10.6709595
324,Georgia,Surami,max_aqi,69,42.0180524,43.5629931
325,Nepal,Birganj,max_aqi,231,27.0135196,84.8763804
326,Estonia,Tallinn,max_aqi,96,59.4372155,24.7453688
327,Trinidad and Tobago,Sangre Grande,max_aqi,161,10.6375402,-61.11774994093055
328,Jordan,Madaba,max_aqi,144,31.7165941,35.7943856
329,Cyprus,Lemesos,max_aqi,58,34.6852901,33.0332657
330,Montenegro,Niksic,max_aqi,79,42.7739388,18.9488097
331,Comoros,Moroni,max_aqi,39,-11.6931255,43.2543044
332,Iceland,Reykjavik,max_aqi,23,64.145981,-21.9422367
333,Andorra,Encamp,max_aqi,32,42.5360425,1.5836096
334,Oman,Ruwi,max_aqi,159,23.5995525,58.550656
335,Equatorial Guinea,Anisoc,max_aqi,53,1.844383,10.747593
336,Luxembourg,Luxemburg,max_aqi,63,42.6027722,-91.0740206
337,Vanuatu,Vila,max_aqi,30,41.2976935,-7.7457614
338,Aruba,Oranjestad,max_aqi,163,12.5201024,-70.0371329
339,Belize,Belmopan,max_aqi,59,17.250199,-88.770018
340,Qatar,Doha,max_aqi,164,25.2856329,51.5264162
341,Palau,Koror,max_aqi,16,7.343275,134.4766767
342,Suriname,Nieuw Nickerie,max_aqi,65,5.9420605,-56.9893521
343,Singapore,Singapore,max_aqi,91,1.357107,103.8194992
344,Maldives,Male,max_aqi,19,4.1779879,73.5107387
345,Bahrain,Manama,max_aqi,188,26.2235041,50.5822436
346,Seychelles,Victoria,max_aqi,26,-36.5986096,144.6780052
347,Palestine,Jerusalem,max_aqi,86,31.7788242,35.2257626
348,Saint Kitts and Nevis,Basseterre,max_aqi,90,17.2960919,-62.722301
349,Monaco,Beausoleil,max_aqi,56,43.748281,7.4219677
350,Russia,Komsomolsk Na Amure,mean_aqi,42,50.5497277,137.0099189
351,Brazil,Itapemirim,mean_aqi,44,-21.0105534,-40.8351239
352,Italy,Giussano,mean_aqi,62,45.6993814,9.2097294
353,Poland,Myslenice,mean_aqi,52,49.834608,19.9384283
354,France,Epernay,mean_aqi,53,49.042561,3.9528655
355,United States of America,Falls Church,mean_aqi,59,38.882334,-77.1710914
356,Germany,Overath,mean_aqi,48,50.9320015,7.2839042
357,Belgium,Maasmechelen,mean_aqi,44,50.9634179,5.6960212
358,Egypt,Beba,mean_aqi,101,-18.6375606,45.5444441
359,China,Paiho,mean_aqi,126,62.686689,29.9271405
360,Netherlands,Maassluis,mean_aqi,38,51.9266671,4.244000657157326
361,India,Damnagar,mean_aqi,152,21.6950878,71.5160345
362,Pakistan,Islamabad,mean_aqi,178,33.6938118,73.0651511
363,Republic of North Macedonia,Bitola,mean_aqi,66,41.0316005,21.3302511
364,Colombia,Don Matias,mean_aqi,66,-36.0584603,-71.7606032
365,Romania,Tarnaveni,mean_aqi,53,46.3295278,24.2804126
366,Indonesia,Wanasari,mean_aqi,93,-7.4065716,106.9719531
367,Finland,Seinajoki,mean_aqi,38,62.7954104,22.8442015
368,South Africa,Boksburg,mean_aqi,500,-26.2124639,28.2617471
369,United Kingdom,Dronfield,mean_aqi,39,53.3019998,-1.4752184
370,Tanzania,Malinyi,mean_aqi,31,-9.188061900000001,36.15205494284014
371,Haiti,Hinche,mean_aqi,144,19.1445541,-72.0087527
372,Somalia,Bosaso,mean_aqi,160,11.27848,49.179952
373,Philippines,Dalipuga,mean_aqi,61,8.3059601,124.258587
374,Latvia,Jurmala,mean_aqi,56,56.9727164,23.7886979
375,Chad,Faya,mean_aqi,156,47.3187082,-1.602319
376,New Zealand,Waitakere,mean_aqi,70,-36.848987,174.5442266
377,Tunisia,Bin Qirdan,mean_aqi,167,15.221991,44.231644
378,Vietnam,Bac Ninh,mean_aqi,87,21.0955822,106.1264766
379,Iran,Eslamshahr,mean_aqi,235,35.5478513,51.2318676
380,Mexico,Sayula,mean_aqi,89,19.857163800000002,-103.60889569436725
381,Japan,Nakatsugawa,mean_aqi,51,35.4876463,137.5005402
382,El Salvador,Ilopango,mean_aqi,151,13.6708753,-89.044847
